block_id,dates_nonzero,mean_persons,max_persons,total_persons,area,lon,lat,st_east,st_north,persistence
17TH_ST_K_ST,12,74.82000000000001,162.0,897.84,East Village,-117.1489822,32.7073124,17TH_ST,K_ST,1.0
09TH_AV_E_ST,12,29.8175,60.25,357.81,East Village,-117.15698,32.7141617,09TH_AV,E_ST,1.0
15TH_ST_IMPERIAL_AV,12,28.419166666666666,62.03,341.03,East Village,-117.1511004,32.7057566,15TH_ST,IMPERIAL_AV,1.0
08TH_AV_E_ST,12,27.3875,62.31,328.65,East Village,-117.1578739,32.7141511,08TH_AV,E_ST,1.0
PARK_BL_J_ST,11,23.229166666666668,58.25,278.75,East Village,-117.1540298,32.7087234,PARK_BL,J_ST,0.9166666666666666
16TH_ST_MARKET_ST,12,22.9525,43.5,275.43,East Village,-117.1499028,32.7109864,16TH_ST,MARKET_ST,1.0
03RD_AV_A_ST,10,21.395833333333332,65.25,256.75,City Center,-117.1629391,32.7177955,03RD_AV,A_ST,0.8333333333333334
17TH_ST_ISLAND_AV,12,17.515833333333333,39.0,210.19,East Village,-117.1489889,32.7099281,17TH_ST,ISLAND_AV,1.0
02ND_AV_I-5_SB,9,14.153333333333334,52.03,169.84,Cortez,-117.1634219,32.7225051,02ND_AV,I-5_SB,0.75
16TH_ST_J_ST,12,13.270833333333334,22.0,159.25,East Village,-117.1498877,32.7088871,16TH_ST,J_ST,1.0
14TH_ST_K_ST,11,12.905833333333334,58.59,154.87,East Village,-117.1523339,32.7078495,14TH_ST,K_ST,0.9166666666666666
17TH_ST_MARKET_ST,11,12.591666666666667,30.0,151.1,East Village,-117.1490019,32.7109934,17TH_ST,MARKET_ST,0.9166666666666666
Map_Border_NATIONAL_AV,9,12.416666666666666,57.25,149.0,East Village,-117.1524081,32.7055029,Map_Border,NATIONAL_AV,0.75
17TH_ST_J_ST,12,12.231666666666667,19.75,146.78,East Village,-117.1489996,32.708891,17TH_ST,J_ST,1.0
UNION_ST_W_ASH_ST,12,11.669166666666667,25.25,140.03,Columbia,-117.1660488,32.7193532,UNION_ST,W_ASH_ST,1.0
