block_id,neighborhood_source,lon,lat,area,st_north,st_east,st_south,st_west,dates_nonzero,mean_persons,max_persons,total_persons,persistence,in_panel_261,latest_individuals,latest_tents_structures,latest_vehicles,latest_persons_adj,donor_in_block,nearest_donor_m,donor_within_200m,donor_within_400m,donor_within_800m,shelter_in_block,nearest_shelter_m,shelter_within_200m,shelter_within_400m,shelter_within_800m,foodsite_in_block,nearest_foodsite_m,foodsite_within_200m,foodsite_within_400m,foodsite_within_800m,restaurant_within_200m,restaurant_within_400m,restaurant_within_800m,restaurant_in_block,nearest_restaurant_m,unserved_need,supply_within_400m
08TH_AV_DATE_ST,Cortez,-117.1579578,32.7224837,Cortez,DATE_ST,08TH_AV,CEDAR_ST,07TH_AV,2.0,0.2525,2.03,3.03,0.1666666666666666,True,0,0.0,0,0.0,0,714.3,0,0,1,0,398.5,0,1,2,0,309.1,0,3,4,0,0,0,0,,0.0,0
07TH_AV_CEDAR_ST,Cortez,-117.1588533,32.7214614,Cortez,CEDAR_ST,07TH_AV,BEECH_ST,06TH_AV,2.0,0.25,2.0,3.0,0.1666666666666666,True,2,0.0,0,2.0,0,588.8,0,0,4,0,270.0,0,1,3,0,253.2,0,2,4,0,0,0,0,,0.0,0
07TH_AV_I-5_SB,Cortez,-117.1588123,32.7224379,Cortez,I-5_SB,07TH_AV,CEDAR_ST,06TH_AV,6.0,0.9791666666666666,6.0,11.75,0.5,True,6,0.0,0,6.0,0,697.4,0,0,2,0,331.5,0,2,2,0,232.2,0,3,4,0,0,0,0,,0.0,0
02ND_AV_I-5_SB,Cortez,-117.1634219,32.7225051,Cortez,I-5_SB,02ND_AV,CEDAR_ST,01ST_AV,9.0,14.153333333333334,52.03,169.84,0.75,True,2,0.0,0,2.0,0,689.7,0,0,4,0,258.9,0,2,2,0,215.3,0,4,4,0,0,0,0,,0.0,0
03RD_AV_CEDAR_ST,Cortez,-117.1624937,32.7214529,Cortez,CEDAR_ST,03RD_AV,BEECH_ST,02ND_AV,6.0,1.375,4.75,16.5,0.5,True,3,1.0,0,4.75,0,639.1,0,0,7,0,141.1,1,2,2,0,105.9,1,3,4,0,0,0,0,,0.0,0
03RD_AV_I-5_SB,Cortez,-117.1625336,32.7223266,Cortez,I-5_SB,03RD_AV,CEDAR_ST,02ND_AV,7.0,10.1325,36.03,121.59,0.5833333333333334,True,0,0.0,0,0.0,0,715.0,0,0,5,0,225.2,0,2,2,0,145.7,2,4,4,0,0,0,0,,0.0,0
02ND_AV_CEDAR_ST,Cortez,-117.1634179,32.7214684,Cortez,CEDAR_ST,02ND_AV,BEECH_ST,01ST_AV,6.0,1.065,4.0,12.78,0.5,True,1,0.0,0,1.0,0,589.7,0,0,7,0,209.5,0,2,2,0,187.1,1,3,4,0,0,0,0,,0.0,0
06TH_AV_CEDAR_ST,Cortez,-117.1597531,32.7214606,Cortez,CEDAR_ST,06TH_AV,BEECH_ST,05TH_AV,5.0,1.9375,7.0,23.25,0.4166666666666667,True,2,0.0,0,2.0,0,586.1,0,0,5,0,195.5,1,2,3,0,171.5,1,3,4,0,0,0,0,,0.0,0
06TH_AV_I-5_SB,Cortez,-117.1597543,32.722368,Cortez,I-5_SB,06TH_AV,CEDAR_ST,05TH_AV,3.0,0.6716666666666665,4.029999999999999,8.059999999999999,0.25,True,2,0.0,1,4.029999999999999,0,687.0,0,0,3,0,264.5,0,2,2,0,152.6,1,3,4,0,0,0,0,,0.0,0
05TH_AV_CEDAR_ST,Cortez,-117.1606714,32.7214611,Cortez,CEDAR_ST,05TH_AV,BEECH_ST,04TH_AV,11.0,10.979166666666666,22.75,131.75,0.9166666666666666,True,13,0.0,0,13.0,0,595.9,0,0,6,0,132.2,1,2,3,0,93.0,2,3,4,0,0,0,0,,0.0,0
