date,source_dataset,category,subcategory_problem,address,city,postal_code,latitude,longitude,council_district,in_downtown_cpa,status_disposition,responding_units,master_incident_id,narrative_comment
2021-01-01,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,7625 Mesa College Dr,SAN DIEGO,92111,32.800766,-117.157768,7,False,1-CALL COMPLETE,E27; E28,FS21000289,PER RP - POSS TRANSIENT BURNING SOMETHING IFO ADRESS - UNK IF WEAPONS
2021-01-01,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,650 GATEWAY CENTER DR,SAN DIEGO,92102,32.713194,-117.11417,9,False,1-CALL COMPLETE,E19,FS21000309,homeless encampment
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,Sr-94 Wb Off Ramp,SAN DIEGO,92102,32.713608,-117.146462,8,False,1-CALL COMPLETE,E11,FS21000737,"E11 - ATS, SMALL HOMELESS ENCAMPMENT FIRE, INVESTIGATING"
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,University Ave & Highland Ave,SAN DIEGO,92105,32.749595,-117.098734,9,False,1-CALL COMPLETE,E17,FS21000745,TRANSIENT MALE BURING RUBBISH
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,Sr-163 Ramp,SAN DIEGO,92108,32.771076,-117.161719,7,False,1-CALL COMPLETE,E28,FS21000765,"E28 WILL INV A FEW MORE MINUTES UNDERNEATH BRIDGE AT HOMELESS CAMP,"
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,JAMACHA RD,S.D. COUNTY,0,32.70465,-117.010652,,False,1-CALL COMPLETE,AM414; HB3; He10; SMB6; SME14; SMT15,FMSC210019,"Comment from CAHTL: [28] RP WAS COMING OFF THE OFF RAMP AND SAW THE SMOKE, NO LONGER IN THE AREA,  ITS IN THE HOMELESS AREA, IF YOUR LOOKING SOUTH WHEN COMING OFF THE RAMP"
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,6333 College Grove Way,SAN DIEGO,92115,32.737923,-117.057915,4,False,1-CALL COMPLETE,E26,FS21001057,Smoke from a homeless encampment.  PD Responding
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,197 Palm Ave,IMPERIAL BEACH,91932,32.583925,-117.129567,,False,1-CALL COMPLETE,IBE239,IB21000018,TRANSIENT HAS STARTED RUBBISH FIRE ON SIDEWALK ACROSS FROM 7-11
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,Sr-94 Wb Off Ramp,SAN DIEGO,92102,32.713608,-117.146462,8,False,1-CALL COMPLETE,E11,FS21001105,8582091191 ADD RP - TRANSIENT STARTING RUBBISH FIRE
2021-01-02,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Rubbish Fire,4481 EL CAJON BLVD,SAN DIEGO,92115,32.75527,-117.097988,9,False,1-CALL COMPLETE,E17; Inv67; Inv69; INVK9,FS21001112,"E17 ATS OF 10X10 RUBBISH FIRE AGAINST A BUILDING, E17 PULLING A LINE, KNOWN HOMELESS ENCAMPMENT. E17 CAN HANDLE; E17 REQ PD FOR KNOWN TRANSIENTS AND TO HAVE MAST COME UP ON TAC FOR E17"
2021-01-03,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Vegetation Initial Attack,543 Hotel Circle South,SAN DIEGO,92108,32.76057,-117.167585,7,False,1-CALL COMPLETE,E5; E8,FS21001190,"add/l rp 6195694117 states poss homeless encampment; E8- CONF HOMELESS ENCAMPMENT FIRE, 20X20, NO FURTHER RATE OF SPREAD, E8 AND E5 CAN HANDLE; Homeless encampment"
2021-01-03,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,1755 Euclid Ave,SAN DIEGO,92105,32.723792,-117.084941,4,False,1-CALL COMPLETE,E26,FS21001230,homeless encapment fire...E26 extinguished; homeless fire; possible homeless has heating fire
2021-01-03,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,805 W CEDAR ST,SAN DIEGO,92101,32.721945,-117.170108,3,True,1-CALL COMPLETE,E2; Inv67; Inv69; INVK9,FS21001286,HOMELESS PERSON TRIED TO START THE BLDG NEXT DOOR ON FIRE
2021-01-03,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,3026 Midway Dr,SAN DIEGO,92110,32.749932,-117.206606,2,False,1-CALL COMPLETE,E8,FS21001352,"Homeless person sat near building, no signs of any burnt material. Cancel PD; Report of homeless burning trash in parking lot. Person eloped, no signs of burnt materials; TRANSIENT SETTING MULTIPEL SMALL FIRES IN PARKING LOT"
2021-01-03,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),HAZARD,Smoke Check,10990 San Diego Mission Rd,SAN DIEGO,92108,32.785022,-117.101767,7,False,1-CALL COMPLETE,E18,FS21001436,"E18 ATS, LIGHT SMOKE IN AREA, POSS HOMELESS ENCAMPMENT, INV,  REQ PD; RP DOES NOT SEE FLAMES, POSSIBLE HOMELESS ENCAMPMENT; SMALL HOMELESS ENCAMPMENT FIRE. EXTUINGUISHED"
2021-01-03,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,Cardiff St & San Felipe St,SAN DIEGO,92114,32.709571,-117.023657,4,False,1-CALL COMPLETE,E51,FS21001612,e51: cancel the squad.. no burning here.. did see a homeless gale but no fire no danger e51 avail; transient female burning debri in the street
2021-01-03,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,4222 Eta St,SAN DIEGO,92113,32.686685,-117.103385,8,False,1-CALL COMPLETE,NCE34,FS21001654,nce34: in the alley behind church. on 4222 eta street.. no fire.. it was a transient with a candle. candle is out. nce34 avail
2021-01-04,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Illegal Burn,West Point Loma Blvd & Sunset Cliffs Blvd,SAN DIEGO,92107,32.750946,-117.242242,2,False,1-CALL COMPLETE,E15,FS21001738,homeless camp of 10 people built a bon fire in a pathway. small.
2021-01-04,HomelessEncampments_CY2021 (SDFD likely-homeless-related fire/hazard calls),FIRE,Vegetation Initial Attack,1202 Camino Del Rio North,SAN DIEGO,92108,32.766888,-117.153353,7,False,1-CALL COMPLETE,E45; E5,FS21001853,Homeless encampment. UTL
