date,geography,rent_index_value,source,vintage
2025-01-01,San Diego CA (metro),3000,Zillow Rental Manager Market Trends (avg rent $, not branded ZORI index),retrieved 2026-08-20
2025-02-01,San Diego CA (metro),3000,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-03-01,San Diego CA (metro),3000,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-04-01,San Diego CA (metro),3000,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-05-01,San Diego CA (metro),2995,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-06-01,San Diego CA (metro),3085,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-07-01,San Diego CA (metro),3125,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-08-01,San Diego CA (metro),3100,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-09-01,San Diego CA (metro),3100,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-10-01,San Diego CA (metro),3095,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-11-01,San Diego CA (metro),3025,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2025-12-01,San Diego CA (metro),3000,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-01-01,San Diego CA (metro),2995,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-02-01,San Diego CA (metro),3000,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-03-01,San Diego CA (metro),2995,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-04-01,San Diego CA (metro),2995,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-05-01,San Diego CA (metro),2999,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-06-01,San Diego CA (metro),3000,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-07-01,San Diego CA (metro),3080,Zillow Rental Manager Market Trends,retrieved 2026-08-20
2026-08-01,San Diego CA (metro),3145,Zillow Rental Manager Market Trends,retrieved 2026-08-20
