demand_rank,block_id,area,lat,lon,individuals,tents,vehicles,demand,count_date,method,individual_multiplier,tent_multiplier,vehicle_multiplier
1,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,36,25,0,79.75,2025-01-31,POST2020,1,1.75,2.03
2,03RD_AV_A_ST,City Center,32.7177955,-117.1629391,64,0,0,64,2025-01-31,POST2020,1,1.75,2.03
3,I-5_SB_OFF_RA_J_ST,East Village,32.7089424,-117.1481715,5,15,0,31.25,2025-01-31,POST2020,1,1.75,2.03
4,PARK_BL_J_ST,East Village,32.7087234,-117.1540298,23,2,0,26.5,2025-01-31,POST2020,1,1.75,2.03
5,17TH_ST_C_ST,East Village,32.7162877,-117.1490392,3,12,0,24,2025-01-31,POST2020,1,1.75,2.03
6,I-5_SB_ON_RA_C_ST,East Village,32.7162533,-117.1483469,0,12,0,21,2025-01-31,POST2020,1,1.75,2.03
7,15TH_ST_IMPERIAL_AV,East Village,32.7057566,-117.1511004,17,0,1,19.03,2025-01-31,POST2020,1,1.75,2.03
8,19TH_ST_MARKET_ST,Outside Perimeter,32.7109932,-117.1471172,1,5,4,17.87,2025-01-31,POST2020,1,1.75,2.03
9,06TH_AV_C_ST,City Center,32.7162296,-117.1597014,16,0,0,16,2025-01-31,POST2020,1,1.75,2.03
10,PARK_BL_C_ST,City Center,32.7162557,-117.1542651,16,0,0,16,2025-01-31,POST2020,1,1.75,2.03
11,S_16TH_ST_NATIONAL_AV,Outside Perimeter,32.7044166,-117.1514994,2,8,0,16,2025-01-31,POST2020,1,1.75,2.03
12,16TH_ST_MARKET_ST,East Village,32.7109864,-117.1499028,7,5,0,15.75,2025-01-31,POST2020,1,1.75,2.03
13,I-5_SB_OFF_RA_Map_Border,East Village,32.7080044,-117.1484631,0,9,0,15.75,2025-01-31,POST2020,1,1.75,2.03
14,19TH_ST_I-5_SB_OFF_RA,Outside Perimeter,32.7175296,-117.1472282,3,7,0,15.25,2025-01-31,POST2020,1,1.75,2.03
15,22ND_ST_SR-94_EB_ON_RA,Outside Perimeter,32.7125135,-117.1461263,1,7,0,13.25,2025-01-31,POST2020,1,1.75,2.03
16,05TH_AV_CEDAR_ST,Cortez,32.7214611,-117.1606714,13,0,0,13,2025-01-31,POST2020,1,1.75,2.03
17,08TH_AV_E_ST,East Village,32.7141511,-117.1578739,9,2,0,12.5,2025-01-31,POST2020,1,1.75,2.03
18,PARK_BL_B_ST,City Center,32.7172888,-117.1542247,10,1,0,11.75,2025-01-31,POST2020,1,1.75,2.03
19,S_16TH_ST_COMMERCIAL_ST,Outside Perimeter,32.7048412,-117.1502989,3,2,2,10.56,2025-01-31,POST2020,1,1.75,2.03
20,09TH_AV_E_ST,East Village,32.7141617,-117.15698,5,3,0,10.25,2025-01-31,POST2020,1,1.75,2.03
21,16TH_ST_G_ST,East Village,32.7120806,-117.1499191,5,3,0,10.25,2025-01-31,POST2020,1,1.75,2.03
22,16TH_ST_J_ST,East Village,32.7088871,-117.1498877,5,3,0,10.25,2025-01-31,POST2020,1,1.75,2.03
23,16TH_ST_K_ST,East Village,32.7073213,-117.1506552,8,0,1,10.03,2025-01-31,POST2020,1,1.75,2.03
24,13TH_ST_IMPERIAL_AV,East Village,32.7061363,-117.1529333,10,0,0,10,2025-01-31,POST2020,1,1.75,2.03
25,17TH_ST_J_ST,East Village,32.708891,-117.1489996,10,0,0,10,2025-01-31,POST2020,1,1.75,2.03
26,I-5_SB_ON_RA_Map_Border,East Village,32.706935,-117.148167,6,2,0,9.5,2025-01-31,POST2020,1,1.75,2.03
27,21ST_ST_RUSS_BL,Outside Perimeter,32.7187746,-117.1452507,0,5,0,8.75,2025-01-31,POST2020,1,1.75,2.03
28,06TH_AV_BROADWAY,Gaslamp,32.7151784,-117.1597059,8,0,0,8,2025-01-31,POST2020,1,1.75,2.03
29,06TH_AV_B_ST,City Center,32.7172918,-117.1597396,7,0,0,7,2025-01-31,POST2020,1,1.75,2.03
30,11TH_AV_C_ST,City Center,32.7162482,-117.1551682,5,1,0,6.75,2025-01-31,POST2020,1,1.75,2.03
31,10TH_AV_BROADWAY,City Center,32.7152016,-117.1560569,3,2,0,6.5,2025-01-31,POST2020,1,1.75,2.03
32,UNION_ST_W_ASH_ST,Columbia,32.7193532,-117.1660488,3,2,0,6.5,2025-01-31,POST2020,1,1.75,2.03
33,04TH_AV_CEDAR_ST,Cortez,32.7214559,-117.1615802,6,0,0,6,2025-01-31,POST2020,1,1.75,2.03
34,05TH_AV_BROADWAY,Gaslamp,32.7151718,-117.1606163,6,0,0,6,2025-01-31,POST2020,1,1.75,2.03
35,07TH_AV_I-5_SB,Cortez,32.7224379,-117.1588123,6,0,0,6,2025-01-31,POST2020,1,1.75,2.03
36,14TH_ST_L_ST,East Village,32.7068041,-117.1523303,6,0,0,6,2025-01-31,POST2020,1,1.75,2.03
37,17TH_ST_MARKET_ST,East Village,32.7109934,-117.1490019,6,0,0,6,2025-01-31,POST2020,1,1.75,2.03
38,01ST_AV_W_B_ST,City Center,32.7172579,-117.1642733,4,1,0,5.75,2025-01-31,POST2020,1,1.75,2.03
39,05TH_AV_A_ST,City Center,32.7183298,-117.1606385,2,2,0,5.5,2025-01-31,POST2020,1,1.75,2.03
40,07TH_AV_ISLAND_AV,East Village,32.7099117,-117.1587482,2,2,0,5.5,2025-01-31,POST2020,1,1.75,2.03
41,17TH_ST_G_ST,East Village,32.7120842,-117.1490078,2,2,0,5.5,2025-01-31,POST2020,1,1.75,2.03
42,10TH_AV_C_ST,City Center,32.7162421,-117.1560671,5,0,0,5,2025-01-31,POST2020,1,1.75,2.03
43,13TH_ST_MARKET_ST,East Village,32.7109913,-117.1532832,5,0,0,5,2025-01-31,POST2020,1,1.75,2.03
44,17TH_ST_IMPERIAL_AV,East Village,32.7057471,-117.148974,5,0,0,5,2025-01-31,POST2020,1,1.75,2.03
45,17TH_ST_ISLAND_AV,East Village,32.7099281,-117.1489889,5,0,0,5,2025-01-31,POST2020,1,1.75,2.03
46,INDIA_ST_W_B_ST,Columbia,32.7167409,-117.1687224,5,0,0,5,2025-01-31,POST2020,1,1.75,2.03
47,KETTNER_BL_W_A_ST,Columbia,32.7172597,-117.1696087,5,0,0,5,2025-01-31,POST2020,1,1.75,2.03
48,03RD_AV_CEDAR_ST,Cortez,32.7214529,-117.1624937,3,1,0,4.75,2025-01-31,POST2020,1,1.75,2.03
49,11TH_AV_A_ST,City Center,32.7183485,-117.1551703,3,1,0,4.75,2025-01-31,POST2020,1,1.75,2.03
50,Map_Border_NATIONAL_AV,East Village,32.7055029,-117.1524081,3,1,0,4.75,2025-01-31,POST2020,1,1.75,2.03
51,16TH_ST_F_ST,East Village,32.7131519,-117.1499278,1,2,0,4.5,2025-01-31,POST2020,1,1.75,2.03
52,06TH_AV_I-5_SB,Cortez,32.722368,-117.1597543,2,0,1,4.03,2025-01-31,POST2020,1,1.75,2.03
53,09TH_AV_F_ST,East Village,32.7131219,-117.1569871,2,0,1,4.03,2025-01-31,POST2020,1,1.75,2.03
