demand_id,demand_block_id,demand_area,demand_lat,demand_lon,demand_value,supplier_id,supplier_block_id,supplier_area,supplier_lat,supplier_lon,distribution_id,distribution_block_id,distribution_area,distribution_lat,distribution_lon,demand_to_supplier_miles,supplier_to_distribution_miles,demand_to_distribution_miles,triple_total_miles,distance_method,point_location_assumption
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_04TH_AV_BROADWAY_1,04TH_AV_BROADWAY,City Center,32.7140043,-117.1624468,distribution_04TH_AV_CEDAR_ST_1,04TH_AV_CEDAR_ST,Cortez,32.7214559,-117.1615802,1.245,0.565,1.71,1.81,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_04TH_AV_BROADWAY_1,04TH_AV_BROADWAY,City Center,32.7140043,-117.1624468,distribution_09TH_AV_F_ST_1,09TH_AV_F_ST,East Village,32.7131219,-117.1569871,1.245,0.378,0.867,1.623,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_04TH_AV_BROADWAY_1,04TH_AV_BROADWAY,City Center,32.7140043,-117.1624468,distribution_09TH_AV_F_ST_2,09TH_AV_F_ST,East Village,32.7131219,-117.1569871,1.245,0.378,0.867,1.623,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_04TH_AV_BROADWAY_1,04TH_AV_BROADWAY,City Center,32.7140043,-117.1624468,distribution_I-5_SB_ISLAND_AV_1,I-5_SB_ISLAND_AV,East Village,32.7099349,-117.1481553,1.245,1.112,0.229,2.357,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_04TH_AV_BROADWAY_1,04TH_AV_BROADWAY,City Center,32.7140043,-117.1624468,distribution_SIGSBEE_ST_LOGAN_AV_1,SIGSBEE_ST_LOGAN_AV,Outside Perimeter,32.7039621,-117.1488413,1.245,1.485,0.24,2.73,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_06TH_AV_J_ST_1,06TH_AV_J_ST,Gaslamp,32.7088562,-117.159649,distribution_04TH_AV_CEDAR_ST_1,04TH_AV_CEDAR_ST,Cortez,32.7214559,-117.1615802,0.727,0.983,1.71,1.71,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_06TH_AV_J_ST_1,06TH_AV_J_ST,Gaslamp,32.7088562,-117.159649,distribution_09TH_AV_F_ST_1,09TH_AV_F_ST,East Village,32.7131219,-117.1569871,0.727,0.449,0.867,1.176,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_06TH_AV_J_ST_1,06TH_AV_J_ST,Gaslamp,32.7088562,-117.159649,distribution_09TH_AV_F_ST_2,09TH_AV_F_ST,East Village,32.7131219,-117.1569871,0.727,0.449,0.867,1.176,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_06TH_AV_J_ST_1,06TH_AV_J_ST,Gaslamp,32.7088562,-117.159649,distribution_I-5_SB_ISLAND_AV_1,I-5_SB_ISLAND_AV,East Village,32.7099349,-117.1481553,0.727,0.743,0.229,1.469,local_equirectangular_manhattan_miles,block_centroid
demand_17TH_ST_K_ST,17TH_ST_K_ST,East Village,32.7073124,-117.1489822,79.75,supplier_06TH_AV_J_ST_1,06TH_AV_J_ST,Gaslamp,32.7088562,-117.159649,distribution_SIGSBEE_ST_LOGAN_AV_1,SIGSBEE_ST_LOGAN_AV,Outside Perimeter,32.7039621,-117.1488413,0.727,0.966,0.24,1.693,local_equirectangular_manhattan_miles,block_centroid
