point_id,point_type,name,block_id,area,lat,lon,demand_value,demand_date,food_type,quantity_lbs,estimated_meals,available_from,available_until,frequency,data_status,source_file,notes
demand_01ST_AV_I-5_SB,demand,01ST_AV_I-5_SB,01ST_AV_I-5_SB,Cortez,32.7227731,-117.1643142,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_ASH_ST,demand,01ST_AV_W_ASH_ST,01ST_AV_W_ASH_ST,Cortez,32.7193598,-117.1642985,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_A_ST,demand,01ST_AV_W_A_ST,01ST_AV_W_A_ST,City Center,32.7182995,-117.1642723,3,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_BEECH_ST,demand,01ST_AV_W_BEECH_ST,01ST_AV_W_BEECH_ST,Cortez,32.7204067,-117.1643077,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_BROADWAY,demand,01ST_AV_W_BROADWAY,01ST_AV_W_BROADWAY,City Center,32.7151717,-117.1642381,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_B_ST,demand,01ST_AV_W_B_ST,01ST_AV_W_B_ST,City Center,32.7172579,-117.1642733,5.75,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_CEDAR_ST,demand,01ST_AV_W_CEDAR_ST,01ST_AV_W_CEDAR_ST,Cortez,32.7214641,-117.1643624,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_C_ST,demand,01ST_AV_W_C_ST,01ST_AV_W_C_ST,City Center,32.7162294,-117.1642716,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_E_ST,demand,01ST_AV_W_E_ST,01ST_AV_W_E_ST,City Center,32.7141304,-117.1642743,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_01ST_AV_W_F_ST,demand,01ST_AV_W_F_ST,01ST_AV_W_F_ST,City Center,32.713081,-117.164253,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
