block_id,area,cross_streets,lon,lat,historical_mean,latest_people,historical_max,dates_nonzero,persistence,latest_date
17TH_ST_K_ST,East Village,17TH_ST & K_ST,-117.1489822,32.7073124,56.5,61.0,107.0,12,1.0,2025-01-31
15TH_ST_IMPERIAL_AV,East Village,15TH_ST & IMPERIAL_AV,-117.1511004,32.7057566,26.08,18.0,58.0,12,1.0,2025-01-31
09TH_AV_E_ST,East Village,09TH_AV & E_ST,-117.15698,32.7141617,21.33,8.0,37.0,12,1.0,2025-01-31
PARK_BL_J_ST,East Village,PARK_BL & J_ST,-117.1540298,32.7087234,21.17,25.0,49.0,11,0.917,2025-01-31
08TH_AV_E_ST,East Village,08TH_AV & E_ST,-117.1578739,32.7141511,20.83,11.0,37.0,12,1.0,2025-01-31
03RD_AV_A_ST,City Center,03RD_AV & A_ST,-117.1629391,32.7177955,20.33,64.0,64.0,10,0.833,2025-01-31
16TH_ST_MARKET_ST,East Village,16TH_ST & MARKET_ST,-117.1499028,32.7109864,18.5,12.0,39.0,12,1.0,2025-01-31
17TH_ST_ISLAND_AV,East Village,17TH_ST & ISLAND_AV,-117.1489889,32.7099281,13.0,5.0,30.0,12,1.0,2025-01-31
05TH_AV_CEDAR_ST,Cortez,05TH_AV & CEDAR_ST,-117.1606714,32.7214611,10.92,13.0,22.0,11,0.917,2025-01-31
16TH_ST_J_ST,East Village,16TH_ST & J_ST,-117.1498877,32.7088871,10.83,8.0,19.0,12,1.0,2025-01-31
04TH_AV_B_ST,City Center,04TH_AV & B_ST,-117.1615558,32.7172806,10.75,1.0,38.0,8,0.667,2025-01-31
17TH_ST_J_ST,East Village,17TH_ST & J_ST,-117.1489996,32.708891,10.33,10.0,16.0,12,1.0,2025-01-31
17TH_ST_MARKET_ST,East Village,17TH_ST & MARKET_ST,-117.1490019,32.7109934,9.58,6.0,24.0,11,0.917,2025-01-31
UNION_ST_W_ASH_ST,Columbia,UNION_ST & W_ASH_ST,-117.1660488,32.7193532,9.33,5.0,23.0,12,1.0,2025-01-31
14TH_ST_K_ST,East Village,14TH_ST & K_ST,-117.1523339,32.7078495,9.25,3.0,33.0,11,0.917,2025-01-31
02ND_AV_I-5_SB,Cortez,02ND_AV & I-5_SB,-117.1634219,32.7225051,9.08,2.0,33.0,9,0.75,2025-01-31
Map_Border_NATIONAL_AV,East Village,Map_Border & NATIONAL_AV,-117.1524081,32.7055029,8.67,4.0,34.0,9,0.75,2025-01-31
05TH_AV_BROADWAY,Gaslamp,05TH_AV & BROADWAY,-117.1606163,32.7151718,8.58,6.0,20.0,12,1.0,2025-01-31
13TH_ST_K_ST,East Village,13TH_ST & K_ST,-117.1532529,32.7078497,8.33,0.0,22.0,8,0.667,2025-01-31
UNION_ST_W_C_ST,Columbia,UNION_ST & W_C_ST,-117.1660445,32.7162224,8.33,0.0,27.0,8,0.667,2025-01-31
16TH_ST_G_ST,East Village,16TH_ST & G_ST,-117.1499191,32.7120806,7.83,8.0,13.0,11,0.917,2025-01-31
15TH_ST_J_ST,East Village,15TH_ST & J_ST,-117.1511125,32.7088926,7.83,2.0,31.0,11,0.917,2025-01-31
09TH_AV_BROADWAY,City Center,09TH_AV & BROADWAY,-117.156977,32.7151974,7.58,0.0,19.0,10,0.833,2025-01-31
14TH_ST_L_ST,East Village,14TH_ST & L_ST,-117.1523303,32.7068041,7.08,6.0,11.0,12,1.0,2025-01-31
10TH_AV_B_ST,City Center,10TH_AV & B_ST,-117.1560639,32.7172883,6.92,3.0,25.0,12,1.0,2025-01-31
14TH_ST_IMPERIAL_AV,East Village,14TH_ST & IMPERIAL_AV,-117.1522731,32.705974,6.92,0.0,27.0,8,0.667,2025-01-31
I-5_SB_OFF_RA_J_ST,East Village,I-5_SB_OFF_RA & J_ST,-117.1481715,32.7089424,6.67,20.0,20.0,9,0.75,2025-01-31
13TH_ST_BROADWAY,East Village,13TH_ST & BROADWAY,-117.1533262,32.7152197,6.58,3.0,21.0,11,0.917,2025-01-31
UNION_ST_W_A_ST,Columbia,UNION_ST & W_A_ST,-117.1660611,32.7182992,6.33,1.0,19.0,12,1.0,2025-01-31
PARK_BL_C_ST,City Center,PARK_BL & C_ST,-117.1542651,32.7162557,6.25,16.0,16.0,12,1.0,2025-01-31
06TH_AV_F_ST,Gaslamp,06TH_AV & F_ST,-117.1596933,32.713099,6.25,4.0,20.0,11,0.917,2025-01-31
FRONT_ST_W_B_ST,City Center,FRONT_ST & W_B_ST,-117.1651867,32.7172606,6.25,0.0,19.0,9,0.75,2025-01-31
03RD_AV_I-5_SB,Cortez,03RD_AV & I-5_SB,-117.1625336,32.7223266,6.25,0.0,23.0,7,0.583,2025-01-31
14TH_ST_ISLAND_AV,East Village,14TH_ST & ISLAND_AV,-117.1523586,32.7099402,6.17,2.0,18.0,10,0.833,2025-01-31
11TH_AV_C_ST,City Center,11TH_AV & C_ST,-117.1551682,32.7162482,5.83,6.0,22.0,11,0.917,2025-01-31
15TH_ST_MARKET_ST,East Village,15TH_ST & MARKET_ST,-117.1511361,32.7109935,5.58,3.0,12.0,11,0.917,2025-01-31
10TH_AV_C_ST,City Center,10TH_AV & C_ST,-117.1560671,32.7162421,5.08,5.0,33.0,8,0.667,2025-01-31
04TH_AV_BROADWAY,City Center,04TH_AV & BROADWAY,-117.1624468,32.7140043,5.0,3.0,27.0,10,0.833,2025-01-31
09TH_AV_C_ST,City Center,09TH_AV & C_ST,-117.1569898,32.7162425,5.0,0.0,18.0,9,0.75,2025-01-31
FRONT_ST_W_A_ST,City Center,FRONT_ST & W_A_ST,-117.165161,32.7182965,4.92,1.0,10.0,9,0.75,2025-01-31
13TH_ST_MARKET_ST,East Village,13TH_ST & MARKET_ST,-117.1532832,32.7109913,4.83,5.0,8.0,11,0.917,2025-01-31
07TH_AV_ISLAND_AV,East Village,07TH_AV & ISLAND_AV,-117.1587482,32.7099117,4.83,4.0,16.0,11,0.917,2025-01-31
INDIA_ST_W_B_ST,Columbia,INDIA_ST & W_B_ST,-117.1687224,32.7167409,4.67,5.0,14.0,9,0.75,2025-01-31
16TH_ST_IMPERIAL_AV,East Village,16TH_ST & IMPERIAL_AV,-117.1498956,32.7057509,4.58,3.0,10.0,11,0.917,2025-01-31
14TH_ST_MARKET_ST,East Village,14TH_ST & MARKET_ST,-117.1523631,32.7109961,4.5,0.0,10.0,9,0.75,2025-01-31
13TH_ST_ISLAND_AV,East Village,13TH_ST & ISLAND_AV,-117.1532643,32.709928,4.42,0.0,18.0,10,0.833,2025-01-31
14TH_ST_F_ST,East Village,14TH_ST & F_ST,-117.1523916,32.713136,4.33,0.0,15.0,8,0.667,2025-01-31
KETTNER_BL_W_E_ST,Marina,KETTNER_BL & W_E_ST,-117.1701433,32.7140949,4.33,0.0,16.0,8,0.667,2025-01-31
06TH_AV_C_ST,City Center,06TH_AV & C_ST,-117.1597014,32.7162296,4.25,16.0,16.0,10,0.833,2025-01-31
PARK_BL_B_ST,City Center,PARK_BL & B_ST,-117.1542247,32.7172888,4.25,11.0,11.0,11,0.917,2025-01-31
I-5_SB_OFF_RA_Map_Border,East Village,I-5_SB_OFF_RA & Map_Border,-117.1484631,32.7080044,4.25,9.0,9.0,10,0.833,2025-01-31
06TH_AV_BROADWAY,Gaslamp,06TH_AV & BROADWAY,-117.1597059,32.7151784,4.25,8.0,13.0,11,0.917,2025-01-31
03RD_AV_ASH_ST,Cortez,03RD_AV & ASH_ST,-117.162472,32.7193651,4.25,3.0,15.0,11,0.917,2025-01-31
03RD_AV_C_ST,City Center,03RD_AV & C_ST,-117.162456,32.7162277,4.25,2.0,16.0,10,0.833,2025-01-31
05TH_AV_B_ST,City Center,05TH_AV & B_ST,-117.160627,32.7172852,4.25,2.0,28.0,9,0.75,2025-01-31
16TH_ST_K_ST,East Village,16TH_ST & K_ST,-117.1506552,32.7073213,4.08,9.0,9.0,11,0.917,2025-01-31
KETTNER_BL_W_A_ST,Columbia,KETTNER_BL & W_A_ST,-117.1696087,32.7172597,4.08,5.0,7.0,10,0.833,2025-01-31
11TH_AV_B_ST,City Center,11TH_AV & B_ST,-117.1551753,32.7172964,4.08,0.0,13.0,11,0.917,2025-01-31
16TH_ST_F_ST,East Village,16TH_ST & F_ST,-117.1499278,32.7131519,4.0,3.0,9.0,9,0.75,2025-01-31
04TH_AV_G_ST,Marina,04TH_AV & G_ST,-117.1615051,32.7120166,3.92,3.0,13.0,11,0.917,2025-01-31
08TH_AV_BROADWAY,City Center,08TH_AV & BROADWAY,-117.1578757,32.7151887,3.92,0.0,23.0,4,0.333,2025-01-31
17TH_ST_IMPERIAL_AV,East Village,17TH_ST & IMPERIAL_AV,-117.148974,32.7057471,3.83,5.0,7.0,12,1.0,2025-01-31
09TH_AV_F_ST,East Village,09TH_AV & F_ST,-117.1569871,32.7131219,3.83,3.0,10.0,12,1.0,2025-01-31
08TH_AV_MARKET_ST,East Village,08TH_AV & MARKET_ST,-117.1578318,32.7109649,3.75,4.0,7.0,10,0.833,2025-01-31
10TH_AV_G_ST,East Village,10TH_AV & G_ST,-117.1560204,32.7120547,3.75,1.0,13.0,9,0.75,2025-01-31
13TH_ST_IMPERIAL_AV,East Village,13TH_ST & IMPERIAL_AV,-117.1529333,32.7061363,3.67,10.0,29.0,3,0.25,2025-01-31
06TH_AV_K_ST,Gaslamp,06TH_AV & K_ST,-117.1596315,32.7077977,3.67,2.0,6.0,11,0.917,2025-01-31
03RD_AV_J_ST,Marina,03RD_AV & J_ST,-117.1623282,32.7084097,3.67,0.0,13.0,9,0.75,2025-01-31
PARK_BL_A_ST,City Center,PARK_BL & A_ST,-117.1542312,32.7183468,3.5,1.0,11.0,9,0.75,2025-01-31
06TH_AV_MARKET_ST,Gaslamp,06TH_AV & MARKET_ST,-117.1596713,32.7109659,3.42,3.0,12.0,10,0.833,2025-01-31
