business_name,facility_type,address,lon,lat,sb1383_tier,size_metric,source_url,surplus_type
Albertsons - 14th & Market,grocery,"655 14th Street, San Diego, CA 92101",-117.15,32.7105,1,full-size chain supermarket (full deli/bakery/meat/produce/pharmacy departments listed),https://local.albertsons.com/ca/san-diego/655-14th-st.html,packaged/produce
Northgate Gonzalez Market,grocery,"1950 Main Street, San Diego, CA 92113",-117.1445,32.6935,1,full-size chain supermarket,https://www.northgatemarket.com/locations,packaged/produce
Ralphs - Downtown San Diego,grocery,"101 G Street, San Diego, CA 92101",-117.1642,32.7122,1,"44,000 sq ft (landlord listing); full-size chain supermarket",https://newmarkmerrill.com/property/downtown-ralphs101-g-street-san-diego-ca-92101/,packaged/produce
Ralphs - Hillcrest,grocery,"1020 University Avenue, San Diego, CA 92103",-117.1547,32.7488,1,full-size chain supermarket,https://www.ralphs.com/stores/grocery/ca/san-diego/hillcrest/703/00051,packaged/produce
Scripps Mercy Hospital San Diego,health,"4077 Fifth Avenue, San Diego, CA 92103",-117.16,32.748,2,700 acute-care licensed beds,https://en.wikipedia.org/wiki/Scripps_Mercy_Hospital,packaged/produce
Smart & Final,grocery,"720 15th Street, San Diego, CA 92101",-117.149,32.7115,1,full-size warehouse grocery / wholesale food vendor format,https://eastvillagesandiego.com/go/smart-and-final,packaged/produce
UC San Diego Health - Hillcrest Medical Center,health,"200 West Arbor Drive, San Diego, CA 92103",-117.1665,32.755,2,381 licensed beds,https://hcai.ca.gov/facility/uc-san-diego-health-hillcrest-hillcrest-medical-center/,packaged/produce
Whole Foods Market - Hillcrest,grocery,"711 University Avenue, San Diego, CA 92103",-117.16,32.7487,1,full-size chain supermarket,https://www.wholefoodsmarket.com/stores/sandiego,packaged/produce
Courtyard by Marriott San Diego Downtown,hotel,"530 Broadway, San Diego, CA 92101",-117.1592,32.7153,2,245 rooms,https://www.cvent.com/venues/san-diego/hotel/courtyard-san-diego-downtown/venue-9e315c38-c696-431a-9b18-e4cbfcce9b6c,prepared
Embassy Suites by Hilton San Diego Bay Downtown,hotel,"601 Pacific Highway, San Diego, CA 92101",-117.1705,32.7112,2,341 rooms; all-suite property,https://www.cvent.com/venues/san-diego/hotel/embassy-suites-by-hilton-san-diego-bay-downtown/venue-5e62dd5e-c860-4b55-a0a0-eda302932c4b,prepared
Hard Rock Hotel San Diego,hotel,"207 5th Avenue, San Diego, CA 92101",-117.1597,32.7075,2,420 rooms,https://www.cvent.com/venues/san-diego/hotel/hard-rock-hotel-san-diego/venue-80b13c06-8e67-45cc-bc57-4856b6a31ce7,prepared
Hilton Garden Inn San Diego Downtown/Bayside,hotel,"2137 Pacific Highway, Suite A, San Diego, CA 92101",-117.184,32.73,2,204 rooms; select-service; on-site food facility NOT verified,https://www.cvent.com/venues/san-diego/hotel/hilton-garden-inn-san-diego-downtown-bayside/venue-c7bffa62-df8b-43f2-9b2f-9ff9a3a3182a,prepared
Hilton San Diego Bayfront,hotel,"1 Park Boulevard, San Diego, CA 92101",-117.1607,32.7053,2,1190 rooms,https://www.cvent.com/venues/san-diego/hotel/hilton-san-diego-bayfront/venue-d5605568-4ef0-4ac6-ac47-a431dfc3f128,prepared
Hilton San Diego Gaslamp Quarter,hotel,"401 K Street, San Diego, CA 92101",-117.1605,32.7078,2,286 rooms,https://www.cvent.com/venues/san-diego/hotel/hilton-san-diego-gaslamp-quarter-newly-renovated/venue-85c97ec7-fd12-4bf2-a4dd-66934879d055,prepared
"Hotel Republic San Diego, Autograph Collection",hotel,"421 West B Street, San Diego, CA 92101",-117.1668,32.717,2,258 rooms,https://www.cvent.com/venues/san-diego/luxury-hotel/hotel-republic-san-diego-autograph-collection/venue-bceec1a5-4d59-4db4-bc08-f8d19aff927b,prepared
InterContinental San Diego,hotel,"901 Bayfront Court, San Diego, CA 92101",-117.173,32.7128,2,400 rooms,https://www.cvent.com/venues/en-US/san-diego/luxury-hotel/intercontinental-san-diego/venue-fb576940-f7ee-4a86-9170-3292fc0bcd5a,prepared
Kimpton Alma San Diego (formerly Kimpton Hotel Palomar),hotel,"1047 5th Avenue, San Diego, CA 92101",-117.1595,32.7162,2,211 rooms,https://www.cvent.com/venues/san-diego/hotel/kimpton-alma-san-diego/venue-5082e6c7-6991-42e7-bfef-ff75d2cf1b2c,prepared
Manchester Grand Hyatt San Diego,hotel,"1 Market Place, San Diego, CA 92101",-117.171,32.7065,2,1628 rooms; plus 76 suites per source,https://www.cvent.com/venues/san-diego/hotel/manchester-grand-hyatt-san-diego/venue-72b2ec5b-ec2a-40b5-940a-60b846a1b11f,prepared
Margaritaville Hotel San Diego Gaslamp Quarter (formerly Kimpton Solamar),hotel,"435 6th Avenue, San Diego, CA 92101",-117.1585,32.7093,2,235 rooms,https://www.cvent.com/venues/san-diego/hotel/solamar-san-diego/venue-7cb5f3d8-fe2f-4880-8c5e-1d2db101f3dd,prepared
Marriott Marquis San Diego Marina,hotel,"333 West Harbor Drive, San Diego, CA 92101",-117.168,32.706,2,1366 rooms,https://www.cvent.com/venues/san-diego/hotel/marriott-marquis-san-diego-marina/venue-60dc919a-a6e2-4091-a43d-a567440000b7,prepared
Omni San Diego Hotel at the Ballpark,hotel,"675 L Street, San Diego, CA 92101",-117.1585,32.7068,2,511 rooms,https://www.cvent.com/venues/san-diego/hotel/omni-san-diego-hotel/venue-c08a6660-b40c-4dd5-a189-f859013612c9,prepared
Pendry San Diego,hotel,"550 J Street, San Diego, CA 92101",-117.1592,32.709,2,317 rooms,https://www.cvent.com/venues/san-diego/hotel/pendry-san-diego/venue-896b757c-ba22-4478-a1bf-ee1c92b86f41,prepared
Petco Park,venue,"19 Tony Gwynn Way, San Diego, CA 92101",-117.157,32.7076,2,"39,909 seats (2022-23 capacity)",https://en.wikipedia.org/wiki/Petco_Park,prepared
San Diego Convention Center,venue,"111 West Harbor Drive, San Diego, CA 92101",-117.1625,32.7065,2,"615,700 sq ft exhibit space",https://en.wikipedia.org/wiki/San_Diego_Convention_Center,prepared
Sheraton San Diego Resort (Sheraton San Diego Hotel & Marina),hotel,"1380 Harbor Island Drive, San Diego, CA 92101",-117.202,32.7265,2,1065 rooms; outside downtown study area,https://www.cvent.com/venues/san-diego/hotel/sheraton-san-diego-resort/venue-f5dca515-77a9-4c98-9d81-fc21ce9cd60a,prepared
SpringHill Suites San Diego Downtown/Bayfront,hotel,"900 Bayfront Court, San Diego, CA 92101",-117.1728,32.7125,2,253 rooms; select-service; on-site food facility NOT verified,https://www.cvent.com/venues/san-diego/hotel/springhill-suites-san-diego-downtown-bayfront/venue-c405a908-797a-4560-b1d9-b37285198a94,prepared
The Sofia Hotel,hotel,"150 West Broadway, San Diego, CA 92101",-117.164,32.7155,2,211 rooms,https://www.cvent.com/venues/san-diego/hotel/the-sofia-hotel/venue-b2251cfc-8d5e-4e2d-a1f5-d739623c5fac,prepared
"The US Grant, a Luxury Collection Hotel",hotel,"326 Broadway, San Diego, CA 92101",-117.1612,32.7155,2,270 rooms,https://www.cvent.com/venues/san-diego/luxury-hotel/the-us-grant-a-luxury-collection-hotel-san-diego/venue-aed25f4b-a840-48a0-a2b0-a151173fb9cc,prepared
The Westin San Diego Bayview,hotel,"1051 Columbia Street, San Diego, CA 92101",-117.1678,32.7168,2,436 rooms,https://www.cvent.com/venues/san-diego/hotel/the-westin-san-diego-downtown/venue-0de844b7-3b5e-4a39-ad0a-8190f0a2f0e6,prepared
The Westin San Diego Gaslamp Quarter,hotel,"910 Broadway Circle, San Diego, CA 92101",-117.1608,32.715,2,450 rooms,https://www.cvent.com/venues/san-diego/hotel/the-westin-san-diego-gaslamp-quarter/venue-2bc41d06-b39e-48b9-89e5-025ac6a406f7,prepared
Wyndham San Diego Bayside,hotel,"1355 North Harbor Drive, San Diego, CA 92101",-117.1745,32.7205,2,600 rooms,https://www.cvent.com/venues/san-diego/hotel/wyndham-san-diego-bayside/venue-59178d70-f99b-43a1-ab07-7a58d43085e8,prepared
kim,restaurant,2305 indian street,-117.170255,32.728434,,self-reported,self-registered via BellyUp,prepared
jim,restaurant,9450 Gilman Drive,-117.229199,32.876069,,self-reported,self-registered via BellyUp,prepared
