site_name,operator,address,zip,lon,lat,geocode_method,site_type,days_per_week,day_list,start_time,end_time,program,eligibility,downtown_relevant,source_url
Salvation Army Centre City,The Salvation Army,825 7th Avenue,92101,-117.1595,32.7155,approximate_manual,fixed_site_scheduled,0.23,3rd Friday,09:00,11:00,EFAP,Walk-ins,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
St. Vincent de Paul / Father Joe's Villages (Imperial Ave),Father Joe's Villages,1501 Imperial Ave,92101,-117.152,32.7095,approximate_manual,fixed_site_daily,7.0,Daily,11:30,13:00,Hot meal service,Open,True,https://www.sdcity.edu/community/docs/food_distributions.pdf
Ladle Fellowship,First Presbyterian Church of San Diego,320 Date Street,92101,-117.1665,32.7225,approximate_manual,fixed_site_scheduled,0.46,2nd & 4th Saturday,08:30,10:00,Emergency food distribution,Open,True,https://www.sdcity.edu/community/docs/food_distributions.pdf
Sherman Heights Community Center,Sherman Heights Community Center,2258 Island Avenue,92102,-117.14,32.7105,approximate_manual,fixed_site_scheduled,0.23,1st Thursday,09:00,12:00,EFAP,Walk-ins; priority lines for seniors and persons with disabilities,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
Stepping Higher Incorporated,Stepping Higher Inc,138 28th Street,92102,-117.133,32.7145,approximate_manual,fixed_site_weekly,3.0,Tuesday-Thursday,10:00,13:00,EFAP,Walk-ins; assistance for persons with disabilities,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
San Diego Broadway Spanish Seventh Day Adventist,SD Broadway Spanish SDA,2411 Broadway Street,92102,-117.137,32.7175,approximate_manual,fixed_site_scheduled,0.23,1st Saturday,14:30,16:30,EFAP,Walk-ins,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
St Paul's United Methodist Church,St Paul's UMC,3094 L Street,92102,-117.129,32.7025,approximate_manual,fixed_site_scheduled,0.46,1st & 4th Thursday,12:00,14:00,EFAP,Walk-ins,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
St. Vincent De Paul Father Joe's Villages (E Street),Father Joe's Villages,3350 E Street,92102,-117.126,32.716,approximate_manual,fixed_site_weekly,1.0,Friday,12:00,14:00,EFAP,Drive-thru,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
Faith Tabernacle,Faith Tabernacle,2885 Clay Avenue,92113,-117.129,32.7,approximate_manual,fixed_site_daily,5.0,Daily,09:00,16:00,Community food bank,Open,True,https://www.sdcity.edu/community/docs/food_distributions.pdf
31st Street Seventh Day Adventist Church,31st St SDA,414 S 31st Street,92113,-117.13,32.701,approximate_manual,fixed_site_weekly,1.0,Wednesday,12:30,14:00,Produce and bread distribution,Open,True,https://www.sdcity.edu/community/docs/food_distributions.pdf
MAAC Project at Mercado Apartments,MAAC Project,2001 Newton Avenue,92113,-117.14,32.6975,approximate_manual,fixed_site_scheduled,0.23,1st Thursday,09:00,11:00,EFAP,Walk-ins,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
Central Apostolic Assembly First Church,Central Apostolic Assembly,611 South 35th Street,92113,-117.125,32.6975,approximate_manual,fixed_site_scheduled,0.23,2nd Thursday,10:00,12:00,EFAP,Drive-thru and walk-ins,True,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
St. Paul's Cathedral,St Paul's Cathedral,2728 6th Avenue,92103,-117.161,32.7315,approximate_manual,fixed_site_scheduled,0.23,3rd Thursday,14:00,,Grocery pantry,Government-issued ID required,True,https://www.sdcity.edu/community/docs/food_distributions.pdf
Special Delivery San Diego,Special Delivery SD,4021 Goldfinch Street,92103,-117.172,32.748,approximate_manual,fixed_site_weekly,4.0,Monday-Thursday,11:30,13:00,Hot meal delivery and pantry,Serves ill or home-bound individuals,False,https://www.sandiegofoodbank.org/wp-content/uploads/2026/03/Live-EFAP-Roster-3.18.26.pdf
