name,street,city,state,zip,days,distribution_type,hours,holiday_changes,food_provided,eligibility,tips,source
Aguilas del Poderoso Dios,5901 Rancho Hills Drive,San Diego,CA,92139,Thursday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),1st and 3rd Thursday of the month 10:00am until food runs out,"Reschedules: January 8 and January 22, 2026. Cancellations: May 7, July 2, and September 3, 2026.",25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
All Saint Episcopal Church,651 Eucalyptus Avenue,Vista,CA,92084,Saturday,FOOD TO NONPROFIT/ ASSORTED ITEMS,3rd and 4th Saturday of each month; 11 AM - 12 PM. For further information please email dorispayne3247@gmail.com or call (559) 299 - 0146,,Nonperishable dry goods and fresh produce,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Apostolic Assembly Church,1717 East Lincoln Avenue,Escondido,CA,92027,Saturday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),3rd Saturday of the month from 9:30 am to 10:30 am,"January 10, 2026",25-30 pounds of fresh produce; occasional dry goods.,,,https://www.sandiegofoodbank.org/get-food/
Apostolic Assembly First Church San Diego,611 South 35th St,San Diego,CA,92113,Thursday,EFAP (DRY/FROZEN ITEMS),2nd Thursday of each month from 10:00 am - 12:00 pm,No holiday reschedules for 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Armed Services YMCA Camp Pendleton,Building 200090 Ash Road and Wire Mountain Road,Oceanside,CA,92058,Friday,EFAP (DRY/FROZEN ITEMS),4th Friday of the month from 9:15 am - 11:45 am,"Rescheduled to: May 29, Nov 20, Dec 11","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Ascension Evangelical Lutheran Church,5106 Zion Avenue,San Diego,CA,92120,Tuesday; Saturday,EFAP (DRY/FROZEN ITEMS),Tuesdays & Saturdays from 8:30 am - 10:30 am,No holiday closures or reschedules in 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Ascension Evangelical Lutheran Church,6767 51st Street,San Diego,CA,92120,Friday,EFAP (DRY/FROZEN ITEMS),1st Friday of the month 8:30 am - 10:30 am,"Rescheduled to Jul 10, 2026","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Backcountry Resource Center,39919 Ribbonwood Road,Boulevard,CA,91905,Monday,SENIORS ONLY (60+),2nd Monday of each month from 10:00 am - 11:30 am,Rescheduled Dates due to Holidays: October 19,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Buckheart Ranch,16881 Old Survey Road,Escondido,CA,92025,,FOOD TO NONPROFIT/ ASSORTED ITEMS,Call (760) 802-6769 or email buckheartjulie@gmail.com for current days and hours of operation.,,Nonperishable dry goods and fresh produce,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Calexico - Metropolitan Calexico 10 Movie Theatre,2441 Scaroni Avenue,Calexico,CA,92231,Thursday,SENIORS ONLY (60+),3rd Thursday of each month from 6:30 am to 10:00 am,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Calvary Chapel Ramona - SOWED,114 14th Street Suite D,Ramona,CA,92065,,FOOD TO NONPROFIT/ ASSORTED ITEMS,visit www.ccramona.com/ministries/sowed or Call (760) 789-6031 for current days and hours,,Nonperishable dry goods and fresh produce,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Calvary Evangelical Lutheran Church,3060 54th Street,San Diego,CA,92105,Monday; Wednesday,EFAP (DRY/FROZEN ITEMS),Mondays & Wednesdays from 11:00 am - 2:00 pm,"Closed in 2026 on: Jan 19, Feb 16, May 25, Jul 15, Sep 7, Oct 12, Nov 11, Dec 28, Dec 30","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Carlsbad City Library - Learning Center,3368 Eureka Place,Carlsbad,CA,92008,Monday,SENIORS ONLY (60+),2nd Monday of each month from 1:00 pm to 2:00 pm,Rescheduled Dates due to Holidays: October 19,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Casa Familiar,3604 Beyer Blvd,San Ysidro,CA,92173,Monday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),4th Monday of the month from 2:00pm - 4:00pm,,Rescheduled for December 14th,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Christ the King Lutheran Church at Vallecitos Elementary School,5211 Fifth Street,Fallbrook,CA,92028,Friday,NEIGHBORHOOD DISTRIBUTION (PRODUCE),3rd Friday of the month from 1:30 pm until food is gone,"June 12, 2026",25-30 pounds of fresh produce; occasional dry goods.,All are welcome,,https://www.sandiegofoodbank.org/get-food/
Christian Church of Lemon Grove,3295 Meade Avenue,San Diego,CA,92116,Tuesday,EFAP (DRY/FROZEN ITEMS),4th Tuesday of the month from 3:00pm-5:00pm,No reschedules for 2026,"Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
CMC Good Neighbor Center (Nestor Site),1120 Nestor Way,Nestor,CA,92154,Tuesday,EFAP (DRY/FROZEN ITEMS),Tuesdays from 8:30 am - 10:30 am,"Closed in 2026 on: Mar 31, Jul 7, Aug 18, Aug 25","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Colina Del Sol Park Recreation Center - South Parking Lot,5319 Orange Avenue,San Diego,CA,92115,Wednesday,SENIORS ONLY (60+),4th Wednesday of each month from 9:00 am - 11:00 am,Rescheduled Dates due to Holidays: December 2,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Community Christian Service Agency,4167 Rappahannock Avenue,San Diego,CA,92117,Monday; Tuesday; Wednesday; Thursday; Friday,EFAP (DRY/FROZEN ITEMS),Monday - Friday from 9:30 am - 3:30 pm,"Closed in 2026 on: Jan 1, Jan 19, Feb 16, May 25, Jul 3, Sep 7, Nov 11, Nov 26, Nov 27, Dec 25","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
Community Resource Center,650 Second Street,Encinitas,CA,92024,Monday; Tuesday; Wednesday; Thursday; Friday,EFAP (DRY/FROZEN ITEMS),Monday-Thursday from 8:30-4:30 and Fridays from 8:30am-2:00pm,"Closed in 2026 on: Jan 1, Jan 5, Jan 19, Feb 2, Feb 16, Mar 2, Mar 31, Apr 6, May 4, May 25, Jun 1, Jun 19, Jul 3, Jul 6, Aug 3, Sep 7, Oct 5, Nov 2, Nov 11, Nov 26, Dec 7, Dec 25","Food menu changes monthly. Typical food package include: shelf-stable food items plus occasional fresh produce, dairy items, and frozen meat.",Emergency Food Assistance Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
El Cajon New Season's Church,990 Naranca Avenue,El Cajon,CA,92021,Thursday,SENIORS ONLY (60+),2nd Thursday of each month from 9:30 am - 12:00 pm,No holiday reschedules,"A 30 pound box of food every month that is filled with a variety of nutritious food items. The box usually contains the following items: reduced-fat milk, instant non-fat milk, canned meats, peanut butter, canned fruits and vegetables, cheese, rice, pasta, fruit juice and cereal.",Senior (60+) only; Senior Food Program Income Guidelines Apply (click below map for chart),,https://www.sandiegofoodbank.org/get-food/
