hub_rank,block_id,area,cross_streets,lon,lat,marginal_need_covered,cumulative_need_covered,cumulative_share,blocks_reached,donors_within_400m,restaurants_within_400m
1,16TH_ST_J_ST,East Village,16TH_ST & J_ST,-117.1498877,32.7088871,371.0,371.0,0.3763,42,2,0
2,07TH_AV_B_ST,City Center,07TH_AV & B_ST,-117.1588132,32.7172886,211.7,582.8,0.591,49,4,0
3,01ST_AV_W_ASH_ST,Cortez,01ST_AV & W_ASH_ST,-117.1642985,32.7193598,97.4,680.1,0.6897,39,1,0
4,07TH_AV_ISLAND_AV,East Village,07TH_AV & ISLAND_AV,-117.1587482,32.7099117,79.2,759.3,0.77,42,6,0
5,14TH_ST_F_ST,East Village,14TH_ST & F_ST,-117.1523916,32.713136,66.2,825.5,0.8371,48,2,0
6,16TH_ST_K_ST,East Village,16TH_ST & K_ST,-117.1506552,32.7073213,47.7,873.2,0.8855,34,1,0
7,I-5_SB_ON_RA_BROADWAY,East Village,I-5_SB_ON_RA & BROADWAY,-117.1481113,32.7148705,34.9,908.1,0.9209,34,1,0
8,UNION_ST_W_E_ST,Marina,UNION_ST & W_E_ST,-117.1660529,32.7140915,28.0,936.1,0.9493,37,4,0
9,08TH_AV_ASH_ST,Cortez,08TH_AV & ASH_ST,-117.1579077,32.7193799,21.2,957.3,0.9708,48,1,0
10,INDIA_ST_W_B_ST,Columbia,INDIA_ST & W_B_ST,-117.1687224,32.7167409,7.1,964.4,0.978,29,2,0
