block_id,original_demand,rank,persistence,food_access_days_per_week,baseline_served,optimized_served,baseline_unmet,optimized_unmet
17TH_ST_K_ST,74.82,1,1.0,7.0,74.82,74.82,0.0,0.0
09TH_AV_E_ST,29.82,2,1.0,0.23,29.82,29.82,0.0,0.0
15TH_ST_IMPERIAL_AV,28.42,3,1.0,0.0,28.42,28.42,0.0,0.0
08TH_AV_E_ST,27.39,4,1.0,0.23,27.39,27.39,0.0,0.0
PARK_BL_J_ST,23.23,5,0.917,7.0,23.23,23.23,0.0,0.0
16TH_ST_MARKET_ST,22.95,6,1.0,7.0,22.95,22.95,0.0,0.0
03RD_AV_A_ST,21.4,7,0.833,0.0,21.4,21.4,0.0,0.0
19TH_ST_MARKET_ST,17.87,8,,0.0,17.87,17.87,0.0,0.0
17TH_ST_ISLAND_AV,17.52,9,1.0,7.0,17.52,17.52,0.0,0.0
S_16TH_ST_NATIONAL_AV,16.0,10,,0.0,16.0,16.0,0.0,0.0
19TH_ST_I-5_SB_OFF_RA,15.25,11,,0.0,15.25,15.25,0.0,0.0
02ND_AV_I-5_SB,14.15,12,0.75,0.46,14.15,14.15,0.0,0.0
16TH_ST_J_ST,13.27,13,1.0,7.0,13.27,13.27,0.0,0.0
22ND_ST_SR-94_EB_ON_RA,13.25,14,,0.0,13.25,13.25,0.0,0.0
14TH_ST_K_ST,12.91,15,0.917,7.0,12.91,12.91,0.0,0.0
17TH_ST_MARKET_ST,12.59,16,0.917,7.0,12.59,12.59,0.0,0.0
Map_Border_NATIONAL_AV,12.42,17,0.75,0.0,12.42,12.42,0.0,0.0
17TH_ST_J_ST,12.23,18,1.0,7.0,12.23,12.23,0.0,0.0
UNION_ST_W_ASH_ST,11.67,19,1.0,0.46,11.67,11.67,0.0,0.0
04TH_AV_B_ST,11.62,20,0.667,0.23,11.62,11.62,0.0,0.0
05TH_AV_CEDAR_ST,10.98,21,0.917,0.0,10.98,10.98,0.0,0.0
15TH_ST_J_ST,10.83,22,0.917,7.0,10.83,10.83,0.0,0.0
S_16TH_ST_COMMERCIAL_ST,10.56,23,,0.0,10.56,10.56,0.0,0.0
I-5_SB_OFF_RA_J_ST,10.44,24,0.75,7.0,10.44,10.44,0.0,0.0
14TH_ST_IMPERIAL_AV,10.42,25,0.667,7.0,10.42,10.42,0.0,0.0
03RD_AV_I-5_SB,10.13,26,0.583,0.46,10.13,10.13,0.0,0.0
16TH_ST_G_ST,10.04,27,0.917,7.0,10.04,10.04,0.0,0.0
13TH_ST_K_ST,9.96,28,0.667,7.0,9.96,9.96,0.0,0.0
10TH_AV_B_ST,9.23,29,1.0,0.23,9.23,9.23,0.0,0.0
09TH_AV_BROADWAY,8.9,30,0.833,0.23,8.9,8.9,0.0,0.0
UNION_ST_W_C_ST,8.77,31,0.667,0.0,8.77,8.77,0.0,0.0
13TH_ST_BROADWAY,8.75,32,0.917,0.0,8.75,8.75,0.0,0.0
21ST_ST_RUSS_BL,8.75,32,,0.0,8.75,8.75,0.0,0.0
05TH_AV_BROADWAY,8.71,34,1.0,0.23,8.71,8.71,0.0,0.0
14TH_ST_L_ST,8.66,35,1.0,7.0,8.66,8.66,0.0,0.0
UNION_ST_W_A_ST,8.27,36,1.0,0.0,8.27,8.27,0.0,0.0
14TH_ST_ISLAND_AV,7.43,37,0.833,7.0,7.43,7.43,0.0,0.0
10TH_AV_C_ST,7.4,38,0.667,0.23,7.4,7.4,0.0,0.0
FRONT_ST_W_B_ST,7.38,39,0.75,0.0,7.38,7.38,0.0,0.0
I-5_SB_OFF_RA_Map_Border,6.78,40,0.833,7.0,6.78,6.779999999999999,0.0,8.881784197001252e-16
09TH_AV_C_ST,6.75,41,0.75,0.23,6.75,6.75,0.0,0.0
11TH_AV_C_ST,6.4,42,0.917,0.0,6.4,6.4,0.0,0.0
15TH_ST_MARKET_ST,6.39,43,0.917,7.0,6.39,6.39,0.0,0.0
06TH_AV_F_ST,6.38,44,0.917,0.23,6.38,6.38,0.0,0.0
07TH_AV_ISLAND_AV,6.27,45,0.917,0.0,6.27,6.27,0.0,0.0
PARK_BL_C_ST,6.25,46,1.0,0.0,6.25,6.25,0.0,0.0
FRONT_ST_W_A_ST,5.98,47,0.75,0.0,5.98,5.98,0.0,0.0
16TH_ST_IMPERIAL_AV,5.92,48,0.917,0.0,5.92,5.92,0.0,0.0
16TH_ST_F_ST,5.71,49,0.75,0.0,5.71,5.71,0.0,0.0
08TH_AV_BROADWAY,5.5,50,0.333,0.23,5.5,5.5,0.0,0.0
17TH_ST_IMPERIAL_AV,5.48,51,1.0,0.0,5.48,5.48,0.0,0.0
KETTNER_BL_W_E_ST,5.46,52,0.667,0.0,5.46,5.46,0.0,0.0
14TH_ST_F_ST,5.27,53,0.667,0.0,5.27,5.27,0.0,0.0
11TH_AV_B_ST,5.27,53,0.917,0.0,5.27,5.27,0.0,0.0
04TH_AV_BROADWAY,5.12,55,0.833,0.23,5.12,5.12,0.0,0.0
13TH_ST_MARKET_ST,5.0,56,0.917,7.0,5.0,5.0,0.0,0.0
13TH_ST_ISLAND_AV,4.85,57,0.833,7.0,4.85,4.85,0.0,0.0
08TH_AV_MARKET_ST,4.81,58,0.833,0.0,4.81,4.81,0.0,0.0
INDIA_ST_W_B_ST,4.75,59,0.75,0.0,4.75,4.75,0.0,0.0
14TH_ST_MARKET_ST,4.69,60,0.75,7.0,4.69,4.69,0.0,0.0
PARK_BL_B_ST,4.69,60,0.917,0.0,4.69,4.69,0.0,0.0
PARK_BL_A_ST,4.67,62,0.75,0.0,4.67,4.67,0.0,0.0
03RD_AV_ASH_ST,4.61,63,0.917,0.0,4.61,4.61,0.0,0.0
16TH_ST_K_ST,4.54,64,0.917,7.0,4.54,4.54,0.0,0.0
10TH_AV_G_ST,4.5,65,0.75,0.0,4.5,4.5,0.0,0.0
03RD_AV_C_ST,4.5,65,0.833,0.23,4.5,4.5,0.0,0.0
I-5_SB_IMPERIAL_AV,4.41,67,0.667,0.0,4.41,4.41,0.0,0.0
06TH_AV_C_ST,4.34,68,0.833,0.23,4.34,4.34,0.0,0.0
05TH_AV_B_ST,4.31,69,0.75,0.23,4.31,4.31,0.0,0.0
04TH_AV_BEECH_ST,4.29,70,0.667,0.0,4.29,4.29,0.0,0.0
KETTNER_BL_W_A_ST,4.27,71,0.833,0.0,4.27,4.27,0.0,0.0
06TH_AV_BROADWAY,4.25,72,0.917,0.23,4.25,4.25,0.0,0.0
09TH_AV_F_ST,4.19,73,1.0,0.23,4.19,4.19,0.0,0.0
03RD_AV_J_ST,4.19,73,0.75,0.0,4.19,4.19,0.0,0.0
17TH_ST_F_ST,4.18,75,0.917,0.0,4.18,4.18,0.0,0.0
13TH_ST_J_ST,3.94,76,0.417,7.0,3.94,3.94,0.0,0.0
04TH_AV_G_ST,3.92,77,0.917,0.0,3.92,3.92,0.0,0.0
06TH_AV_K_ST,3.67,78,0.917,0.0,3.67,3.67,0.0,0.0
FRONT_ST_W_ASH_ST,3.67,78,0.583,0.46,3.67,3.67,0.0,0.0
13TH_ST_IMPERIAL_AV,3.67,78,0.25,7.0,3.67,3.67,0.0,0.0
I-5_SB_ON_RA_C_ST,3.64,81,0.667,0.0,3.64,3.64,0.0,0.0
06TH_AV_MARKET_ST,3.42,82,0.833,0.0,3.42,3.42,0.0,0.0
13TH_ST_L_ST,3.35,83,0.833,7.0,3.35,3.35,0.0,0.0
11TH_AV_BROADWAY,3.33,84,0.833,0.0,3.33,3.33,0.0,0.0
04TH_AV_A_ST,3.31,85,0.833,0.23,3.31,3.31,0.0,0.0
05TH_AV_ASH_ST,3.29,86,0.833,0.0,3.29,3.29,0.0,0.0
11TH_AV_A_ST,3.15,87,0.917,0.0,3.15,3.15,0.0,0.0
12TH_AV_PARK_BL,3.12,88,0.667,7.0,3.12,3.12,0.0,0.0
05TH_AV_E_ST,3.06,89,0.833,0.23,3.06,3.06,0.0,0.0
05TH_AV_F_ST,3.0,90,1.0,0.23,3.0,3.0,0.0,0.0
06TH_AV_G_ST,2.94,91,1.0,0.23,2.94,2.94,0.0,0.0
13TH_ST_G_ST,2.92,92,0.583,7.0,2.92,2.92,0.0,0.0
05TH_AV_MARKET_ST,2.88,93,0.917,0.0,2.88,2.88,0.0,0.0
02ND_AV_ISLAND_AV,2.78,94,0.583,0.0,2.78,2.78,0.0,0.0
07TH_AV_BROADWAY,2.67,95,0.417,0.23,2.67,2.67,0.0,0.0
04TH_AV_C_ST,2.62,96,0.5,0.23,2.62,2.62,0.0,0.0
17TH_ST_C_ST,2.59,97,0.417,0.0,2.59,2.59,0.0,0.0
04TH_AV_CEDAR_ST,2.59,97,0.667,0.0,2.59,2.59,0.0,0.0
15TH_ST_F_ST,2.44,99,0.583,0.0,2.44,2.44,0.0,0.0
I-5_SB_ON_RA_G_ST,2.4,100,0.333,0.0,2.4,2.4,0.0,0.0
06TH_AV_L_ST,2.33,101,0.917,0.0,2.33,2.33,0.0,0.0
10TH_AV_E_ST,2.25,102,0.5,0.23,2.25,2.25,0.0,0.0
05TH_AV_G_ST,2.23,103,0.833,0.23,2.23,2.23,0.0,0.0
16TH_ST_BROADWAY,2.02,104,0.417,0.0,2.02,2.02,0.0,0.0
STATE_ST_W_ASH_ST,2.02,104,0.417,0.46,2.02,2.02,0.0,0.0
13TH_ST_F_ST,1.98,106,0.583,0.0,1.98,1.98,0.0,0.0
05TH_AV_C_ST,1.96,107,0.833,0.23,1.96,1.96,0.0,0.0
06TH_AV_CEDAR_ST,1.94,108,0.417,0.0,1.94,1.94,0.0,0.0
15TH_ST_ISLAND_AV,1.94,108,0.417,7.0,1.94,1.94,0.0,0.0
06TH_AV_A_ST,1.9,110,0.5,0.23,1.9,1.9,0.0,0.0
07TH_AV_E_ST,1.86,111,0.5,0.23,1.86,1.86,0.0,0.0
